query_1,3
query_2,2
query_3,1
query_4,3
query_5,2
query_6,1
query_7,3
query_8,2
query_9,1
query_10,3
query_11,2
query_12,1
query_13,3
query_14,2
query_15,1
query_16,3
query_17,2
query_18,1
query_19,3
query_20,2
query_21,1
query_22,3
query_23,2
query_24,1
query_25,3
query_26,2
query_27,1
query_28,3
query_29,2
query_30,1
query_31,3
query_32,2
query_33,1
query_34,3
query_35,2
query_36,1
query_37,3
query_38,2
query_39,1
query_40,3
query_41,2
query_42,1
query_43,3
query_44,2
query_45,1
query_46,3
query_47,2
query_48,1
query_49,3
query_50,2
query_51,1
query_52,3
query_53,2
query_54,1
query_55,3
query_56,2
query_57,1
query_58,3
query_59,2 
query_60 ,1
query_61 ,3
query_62 ,2
query_63 ,1
